Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,340.3666666666667,39.574496030807495,64,0.2,19.0
2,333.7586206896552,47.808250745137535,124,0.2,19.0
3,354.8333333333333,53.13740634918213,184,0.2,18.688524590163933
4,325.0833333333333,58.93805344899496,244,0.2,19.0
5,334.49152542372883,65.12512969970703,304,0.2,18.688524590163933
6,344.4642857142857,69.83028825124104,364,0.2,19.0
7,330.0566037735849,76.46882796287537,424,0.2,18.688524590163933
8,337.4807692307692,81.83356348673503,484,0.2,19.0
9,326.6666666666667,87.4658772945404,544,0.2,18.688524590163933
10,352.4561403508772,93.70758851369222,604,0.2,19.0
Final Results,336.4,96.74569187164306,629,0.2,18.26923076923077

AVERAGES,337,70,,1.0
