Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,2066.5857142857144,41.322335839271545,70,0.104477614,38.0
2,1919.753846153846,47.31764396031698,132,0.103125,38.0
3,1790.6849315068494,53.46776803334554,202,0.10744681,38.0
4,1780.390625,59.27263148625692,264,0.106451616,38.0
5,1901.0579710144928,65.23741753896077,328,0.10614887,37.377049180327866
6,1864.5616438356165,71.53116130828857,398,0.10756757,38.0
7,1742.9577464788733,77.70902427037556,464,0.10765661,38.0
8,1748.967741935484,83.84067630767822,526,0.10712831,38.0
9,1524.5135135135135,90.02096096674602,598,0.108333334,38.0
10,1850.328125,95.91946093241374,660,0.10766721,38.0
Final Results,2278.0,100.042924118042,688,0.10783699,38.0

AVERAGES,1860,71,,0.5391849499999999
