Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,464.9225352112676,41.04159749348958,122,0.2,38.0
2,339.8175182481752,47.103485425313316,246,0.2,38.0
3,300.4965034965035,53.33688418070475,370,0.2,38.0
4,209.89928057553956,59.25166583061218,492,0.2,38.0
5,157.52205882352942,65.5337233543396,614,0.2,38.0
6,161.8791946308725,71.99957529703777,736,0.2,38.0
7,410.9769230769231,78.31904967625935,856,0.1995338,38.0
8,626.4569536423841,84.23905301094055,978,0.19959183,38.0
9,593.1007194244604,90.25640964508057,1102,0.2,38.0
10,499.48175182481754,96.07209197680156,1224,0.19967374,38.0
Final Results,461.3829787234043,100.01125431060791,1266,0.2,38.0

AVERAGES,384,71,,1.0
