Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,109.17142857142858,41.254791021347046,130,0.2,38.0
2,54.114285714285714,48.40208943684896,250,0.2,38.0
3,46.333333333333336,57.96561940511068,370,0.2,37.377049180327866
4,61.41025641025641,65.33868217468262,490,0.2,38.0
5,52.58064516129032,77.03340530395508,610,0.2,37.377049180327866
6,53.86486486486486,84.12527147928874,730,0.2,38.0
7,58.78125,92.18259302775066,850,0.2,37.377049180327866
8,44.107142857142854,101.01693916320801,970,0.2,38.0
9,57.758620689655174,107.60803620020549,1090,0.2,37.377049180327866
10,38.833333333333336,114.03374671936035,1210,0.2,38.0
Final Results,55.935483870967744,118.01663055419922,1261,0.2,38.0

AVERAGES,57,82,,1.0
