Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,106.13157894736842,41.67985486984253,130,0.2,38.0
2,54.05714285714286,48.61174774169922,243,0.2,35.15
3,46.806451612903224,59.15480740865072,362,0.2,37.68852459016394
4,61.8421052631579,67.76472679773967,474,0.2,34.833333333333336
5,46.1875,79.75770823160808,592,0.2,37.0655737704918
6,65.17073170731707,88.76853481928508,702,0.2,34.516666666666666
7,60.65,96.6599391301473,810,0.2,33.63934426229508
8,60.93617021276596,102.23401641845703,924,0.2,36.131147540983605
9,60.71739130434783,110.26040744781494,1028,0.19980563,32.93333333333333
10,59.4375,116.08854548136394,1142,0.2,35.50819672131148
Final Results,49.73076923076923,122.50264129638671,1190,0.2,36.48

AVERAGES,61,84,,1.0
