Benchmark,latency-Q1_20MB,memory,ObIds,Completeness,Current Throughput
1,108.34782608695652,56.72597356942984,130,0.2,38.0
2,22.833333333333332,63.42618306477865,250,0.2,38.0
3,19.476190476190474,70.11143175760905,370,0.2,38.0
4,21.416666666666668,76.2550557454427,490,0.2,37.377049180327866
5,22.65,82.90309079488118,610,0.2,38.0
6,21.181818181818183,88.24154790242513,730,0.2,37.377049180327866
7,22.636363636363637,94.9894027709961,850,0.2,38.0
8,18.6,100.99128341674805,970,0.2,37.377049180327866
9,21.652173913043477,107.27328379948933,1090,0.2,38.0
10,20.952380952380953,114.06339073181152,1210,0.2,37.377049180327866
Final Results,22.85,117.64585456848144,1260,0.2,38.0

AVERAGES,29,88,,1.0
