Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,333.1685393258427,41.6281464099884,250,0.1984127,76.0
2,328.7402597402597,56.58322842915853,492,0.2,75.36666666666666
3,315.90277777777777,67.74444580078125,730,0.19945355,75.37704918032787
4,326.8048780487805,75.72159830729167,972,0.2,75.36666666666666
5,331.70175438596493,85.74493789672852,1210,0.19966997,75.37704918032787
6,315.7125,93.07361729939778,1452,0.2,75.36666666666666
7,321.01234567901236,103.78960355122884,1692,0.2,75.37704918032787
8,314.1551724137931,112.60293769836426,1930,0.19979297,75.36666666666666
9,300.4642857142857,118.99533081054688,1998,0.2,21.18032786885246
10,NaN,119.31796709696452,1998,0.2,0.0
Final Results,NaN,119.36194076538087,1998,0.2,0.0

AVERAGES,320,90,,1.0
