Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,1106.857142857143,41.693200458179824,7,0.015053763,19.0
2,2180.4545454545455,50.12082656224569,18,0.023841059,18.05
3,3249.733333333333,56.53627212842306,33,0.031578947,18.37704918032787
4,4753.190476190476,61.61582533518473,54,0.040298507,18.683333333333334
5,4874.142857142857,67.90251859029134,75,0.04601227,18.065573770491802
6,6522.5,73.39111963907878,103,0.053506494,18.683333333333334
7,8336.71875,78.90574391682942,135,0.061085973,17.75409836065574
8,9048.736842105263,84.91998354593913,154,0.06135458,18.683333333333334
9,10065.785714285714,89.99970666567485,196,0.0702509,17.75409836065574
10,11184.808510638299,96.51385021209717,243,0.07902439,17.733333333333334
Final Results,12272.458333333334,99.32844715118408,267,0.0834375,19.0

AVERAGES,6690,72,,0.4171875
