Benchmark,latency-Q10_8,memory,ObIds,Completeness,Current Throughput
1,1578.2916666666667,42.761558532714844,48,0.01863354,159.0
2,98592.88311688312,51.19930775960287,88,0.021879662,96.0
3,NaN,42.123169581095375,88,0.021879662,0.0
4,NaN,42.603082021077476,88,0.021879662,0.0
5,NaN,42.16256205240885,88,0.021879662,0.0
6,NaN,41.78695106506348,88,0.021879662,0.0
7,NaN,41.76723035176595,88,0.021879662,0.0
8,NaN,41.76843134562174,88,0.021879662,0.0
9,NaN,41.772617975870766,88,0.021879662,0.0
10,NaN,41.77358627319336,88,0.021879662,0.0
Final Results,NaN,41.77269020080566,88,0.021879662,0.0

AVERAGES,50085,42,,0.10939831
