Benchmark,latency-Q10_8,memory,ObIds,Completeness,Current Throughput
1,704.5771812080537,39.305252662071815,1032,1.0,64.0
2,709.711590296496,44.733975092569985,1991,0.999498,64.0
3,802.7984496124031,50.8480593363444,2925,0.99085367,63.47540983606557
4,21374.36912751678,55.92256609598795,3087,0.8262848,52.266666666666666
5,82011.375,61.00301869710287,3095,0.6635935,61.333333333333336
6,142380.7142857143,64.94952583312988,3102,0.6650943,0.0
7,205337.85714285713,64.78624025980632,3109,0.6665952,0.0
8,259103.85714285713,64.99720573425293,3116,0.66809607,0.0
9,316397.4,64.91660753885905,3121,0.6691681,0.0
10,380010.0,64.96025276184082,3122,0.6693825,0.0
Final Results,NaN,64.99350318908691,3122,0.6693825,0.0

AVERAGES,140883,58,,3.3469124999999997
