Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,351.89166666666665,42.596830666065216,132,0.2,38.0
2,341.38532110091745,57.678366343180336,252,0.2,38.0
3,355.1756756756757,67.177916208903,372,0.2,38.0
4,341.54545454545456,74.71863683064778,492,0.2,37.377049180327866
5,326.95384615384614,84.26675415039062,612,0.2,38.0
6,325.3061224489796,91.32306130727132,732,0.2,37.377049180327866
7,353.12345679012344,99.62336444854736,852,0.2,38.0
8,332.20512820512823,108.42336940765381,972,0.2,37.377049180327866
9,337.51063829787233,115.38468901316325,1092,0.2,38.0
10,333.6551724137931,125.051526705424,1212,0.2,37.377049180327866
Final Results,337.0625,128.30284595489502,1262,0.2,38.0

AVERAGES,339,90,,1.0
