Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,1277.5238095238096,44.2601318359375,63,0.196875,19.0
2,926.6774193548387,46.51781622568766,124,0.1984,19.0
3,1275.75,52.2382116317749,183,0.19783784,19.0
4,1462.4590163934427,57.986918449401855,244,0.19837399,19.0
5,1380.936507936508,63.76003615061442,305,0.19934641,19.0
6,1255.3333333333333,69.5511604944865,365,0.19945355,19.0
7,811.639344262295,75.33636061350505,425,0.19906323,18.688524590163933
8,1294.1967213114754,81.0342976252238,486,0.19958933,19.0
9,1366.4262295081967,86.78006267547607,546,0.19927007,19.0
10,1367.5396825396826,92.57775084177653,607,0.19967106,19.0
Final Results,1324.04,96.65333194732666,632,0.19968404,19.0

AVERAGES,1249,69,,0.9984202
