Benchmark,latency-Q10_8,memory,ObIds,Completeness,Current Throughput
1,472.5859872611465,41.26682750995342,519,0.9980769,32.0
2,341.05555555555554,52.36637751261393,999,0.999,32.0
3,339.86206896551727,60.23549016316732,1479,0.9993243,32.0
4,340.51485148514854,66.48959859212239,1959,0.99542683,32.0
5,334.7295081967213,78.48067982991536,2447,0.9995915,32.0
6,329.1774193548387,88.13281949361165,2927,0.99965847,32.0
7,331.96946564885496,100.31404813130696,3411,0.9985363,32.0
8,334.1707317073171,111.57381502787273,3887,0.99768996,32.0
9,344.7105263157895,123.61954689025879,4375,0.9997715,32.0
10,343.71069182389937,141.0714257558187,4855,0.9991768,32.0
Final Results,336.8543689320388,148.34163932800294,5055,0.99822277,32.0

AVERAGES,349,91,,4.99111385
