Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,1987.55223880597,39.73488277196884,130,0.2,38.0
2,1603.7096774193549,47.11448335647583,244,0.1936508,38.0
3,2309.1555555555556,53.036174297332764,368,0.19784947,38.0
4,2041.4318181818182,59.0059757232666,492,0.2,37.377049180327866
5,1667.5431034482758,64.95096413294475,604,0.19738562,38.0
6,2095.9133858267714,70.77115058898926,728,0.19836512,38.0
7,2134.032786885246,76.96218061447144,850,0.19906323,37.377049180327866
8,1710.2711864406779,82.98472023010254,966,0.19795083,38.0
9,1488.0737704918033,89.12896426518758,1082,0.19744526,38.0
10,1709.9237288135594,95.003573179245,1198,0.19671592,38.0
Final Results,2295.7954545454545,99.14157619476319,1242,0.19589905,38.0

AVERAGES,1913,70,,0.9794952499999999
