Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,356.3090909090909,40.96596074104309,125,0.1984127,38.0
2,302.6296296296296,47.786705334981285,246,0.2,37.68333333333333
3,302.2352941176471,53.54679648081461,365,0.19945355,38.0
4,325.9310344827586,59.08611138661703,485,0.19958848,37.68852459016394
5,296.2962962962963,65.49666372934978,606,0.2,37.68333333333333
6,315.74626865671644,70.42208703358968,725,0.19972453,37.68852459016394
7,322.75409836065575,76.93606789906819,846,0.2,38.0
8,305.14814814814815,82.60154310862224,965,0.19979297,37.68333333333333
9,309.85185185185185,87.85837078094482,999,0.2,10.59016393442623
10,NaN,88.24352169036865,999,0.2,0.0
Final Results,NaN,88.267409324646,999,0.2,0.0

AVERAGES,315,69,,1.0
