Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,634.5,39.630876302719116,63,0.2,19.0
2,664.5862068965517,47.65221118927002,123,0.2,19.0
3,632.2372881355932,53.04865805308024,182,0.1989071,19.0
4,682.8833333333333,58.61597220102946,243,0.2,18.37704918032787
5,664.7457627118644,64.93868319193523,302,0.19933994,19.0
6,640.3,69.94623510042827,363,0.2,18.688524590163933
7,654.2203389830509,76.38868244489034,423,0.2,19.0
8,668.2105263157895,81.62692515055339,483,0.2,18.688524590163933
9,626.95,87.24219425519307,543,0.2,19.0
10,649.4333333333333,93.50395552317302,603,0.2,18.688524590163933
Final Results,646.16,96.60981159210205,628,0.2,19.0

AVERAGES,651,69,,1.0
