Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,105.38461538461539,46.47746777534485,130,0.2,38.0
2,58.44117647058823,48.55322869618734,250,0.2,38.0
3,49.44827586206897,58.129152615865074,370,0.2,37.377049180327866
4,60.475,65.2299451828003,490,0.2,38.0
5,49.333333333333336,76.531813621521,610,0.2,37.377049180327866
6,56.97560975609756,83.60421784718831,730,0.2,38.0
7,52.88235294117647,92.74235439300537,850,0.2,37.377049180327866
8,49.27272727272727,101.7668244043986,970,0.2,38.0
9,53.625,108.55523665746053,1090,0.2,37.377049180327866
10,42.42307692307692,115.05081208546956,1210,0.2,38.0
Final Results,52.77777777777778,118.95626087188721,1260,0.2,36.53846153846154

AVERAGES,57,83,,1.0
