Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,91.88888888888889,40.99583172798157,64,0.2,19.0
2,51.06666666666667,47.63301436106364,124,0.2,19.0
3,50.111111111111114,53.17105960845947,184,0.2,19.0
4,51.7037037037037,58.851369539896645,244,0.2,19.0
5,45.464285714285715,65.05181153615315,304,0.2,18.688524590163933
6,52.03225806451613,69.87609799702962,364,0.2,19.0
7,50.592592592592595,76.39955139160156,424,0.2,19.0
8,44.333333333333336,81.65967814127605,484,0.2,18.688524590163933
9,42.11538461538461,87.40097530682881,544,0.2,19.0
10,43.84,93.63028303782146,604,0.2,19.0
Final Results,51.111111111111114,96.82982311248779,629,0.2,18.26923076923077

AVERAGES,52,70,,1.0
