Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,1227.125,42.071685526106094,30,0.039473683,38.0
2,2074.6,56.87528498967489,70,0.05204461,36.733333333333334
3,2394.0754716981132,68.83247057596843,123,0.063239075,37.68852459016394
4,3260.9074074074074,79.07763083775838,177,0.06982248,37.36666666666667
5,3658.890410958904,91.7060505549113,250,0.08,36.75409836065574
6,4358.4946236559135,101.85115973154704,343,0.09208053,37.68333333333333
7,4960.6375,114.07805252075195,423,0.09803013,37.0655737704918
8,5741.523809523809,124.97393067677815,535,0.10885046,37.36666666666667
9,6231.289473684211,132.5737508138021,658,0.119745225,36.75409836065574
10,6726.576086956522,141.69152609507242,760,0.12510288,36.733333333333334
Final Results,6334.868421052632,144.9728609085083,808,0.12774703,36.53846153846154

AVERAGES,4269,99,,0.63873515
