Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,107.25581395348837,47.965817324320476,122,0.2,38.0
2,60.794871794871796,55.85474514961243,238,0.2,36.733333333333334
3,43.03030303030303,61.34980265299479,358,0.2,37.377049180327866
4,53.5625,68.30541785558064,476,0.2,36.733333333333334
5,42.06060606060606,79.62185796101888,596,0.2,38.0
6,58.3235294117647,85.80345726013184,712,0.2,36.733333333333334
7,54.25,92.67483806610107,829,0.2,36.131147540983605
8,55.696969696969695,102.00052261352539,948,0.2,37.68333333333333
9,56.810810810810814,113.98317162195842,1064,0.2,36.442622950819676
10,44.96774193548387,125.70797538757324,1184,0.2,37.68333333333333
Final Results,66.0952380952381,133.88170433044434,1230,0.2,34.96

AVERAGES,58,87,,1.0
