Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,354.032,42.567924320697784,132,0.2,38.0
2,337.54782608695655,57.7133731842041,252,0.2,38.0
3,330.2375,67.16712506612141,372,0.2,38.0
4,331.7684210526316,74.38081169128418,492,0.2,37.377049180327866
5,348.4714285714286,84.49977493286133,612,0.2,38.0
6,332.90625,91.5803337097168,732,0.2,37.377049180327866
7,340.05263157894734,100.02035713195801,852,0.2,38.0
8,340.641975308642,108.96751721700032,972,0.2,37.377049180327866
9,328.17391304347825,115.90935452779134,1092,0.2,38.0
10,343.76666666666665,125.4030532836914,1212,0.2,37.377049180327866
Final Results,344.9574468085106,128.75346717834472,1262,0.2,38.0

AVERAGES,339,90,,1.0
