Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,1131.4180327868853,40.824295361836754,122,0.2,38.0
2,606.4416666666667,46.49817307790121,242,0.2,38.0
3,1263.1271186440679,52.19576040903727,360,0.1978022,38.0
4,1219.983870967742,58.020097414652504,484,0.2,38.0
5,826.2083333333334,63.99421787261963,604,0.2,37.377049180327866
6,1076.8813559322034,69.81727568308513,722,0.19889808,38.0
7,1262.983606557377,75.51546017328899,844,0.19952719,38.0
8,1092.3524590163934,81.55779997507732,966,0.19958678,38.0
9,955.5916666666667,87.4180543422699,1086,0.19963235,38.0
10,851.4754098360655,93.32240295410156,1208,0.19966942,38.0
Final Results,775.56,97.46475219726562,1258,0.19968253,38.0

AVERAGES,1005,69,,0.9984126499999999
