Benchmark,latency-Q10,memory,ObIds,Completeness,Current Throughput
1,868.123076923077,44.268644479604866,130,1.0,8.0
2,638.9333333333333,41.4636287689209,250,1.0,8.0
3,379.23333333333335,47.13144302368164,370,1.0,8.0
4,592.0416666666666,52.86182530721029,490,1.0,7.868852459016393
5,505.23333333333335,58.63457171122233,610,0.996732,8.0
6,930.0916666666667,64.41492970784505,730,0.9972678,8.0
7,873.1229508196722,70.27347819010417,852,0.9976581,8.0
8,779.0,76.04459317525227,972,0.9979466,8.0
9,728.3770491803278,81.85970497131348,1094,0.9981752,8.0
10,650.925,87.66226450602214,1214,0.99835527,8.0
Final Results,618.1923076923077,91.66767768859863,1266,1.0,8.0

AVERAGES,687,65,,5.0
