Benchmark,latency-Q10_5,memory,ObIds,Completeness,Current Throughput
1,219.68,38.170836228590744,325,1.0,20.0
2,19.5,43.03289286295573,625,1.0,20.0
3,21.0,48.43798828125,925,1.0,20.0
4,20.652173913043477,54.08252080281576,1225,1.0,20.0
5,20.91304347826087,60.249090830485024,1525,1.0,19.672131147540984
6,19.666666666666668,65.6492551167806,1830,1.0,20.0
7,17.0,71.8501828511556,2130,1.0,20.0
8,18.5,77.59271430969238,2430,1.0,20.0
9,18.90909090909091,83.2865219116211,2735,1.0,20.0
10,17.818181818181817,89.67763582865398,3035,1.0,20.0
Final Results,16.736842105263158,92.95323066711425,3160,1.0,20.0

AVERAGES,37,65,,5.0
