Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,1005.8666666666667,43.67519443685358,16,0.016842104,38.0
2,2749.4,56.71666510899862,41,0.027152319,34.833333333333336
3,3609.542857142857,69.8209654490153,76,0.036714975,35.50819672131148
4,5824.195121951219,76.70572153727214,129,0.048314605,37.377049180327866
5,8027.470588235294,85.1525224049886,186,0.057763975,34.833333333333336
6,10603.391891891892,92.79893938700359,268,0.070157066,36.75409836065574
7,11631.153846153846,98.96304988861084,362,0.08302752,34.833333333333336
8,13469.943396226416,107.00538698832194,472,0.09516129,36.75409836065574
9,16079.583333333334,112.7104328473409,526,0.09563636,34.2
10,15659.975609756097,119.97311401367188,652,0.10741351,35.50819672131148
Final Results,16872.384615384617,122.79789924621582,706,0.11242038,31.92

AVERAGES,9593,89,,0.5621018999999999
