Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,585.471615720524,42.55431777238846,258,0.19846153,76.0
2,594.4024390243902,55.26820182800293,497,0.1988,75.36666666666666
3,584.1301369863014,63.670244216918945,740,0.2,75.37704918032787
4,593.095,70.8600565592448,978,0.19959183,75.36666666666666
5,590.2611111111111,83.01197624206543,1220,0.2,75.37704918032787
6,597.7109826589596,90.51019795735677,1458,0.19972603,75.36666666666666
7,590.8224852071006,98.76881980895996,1696,0.19952941,75.37704918032787
8,588.4,107.77026685078938,1938,0.19979382,75.36666666666666
9,572.4,113.94116083780925,1998,0.2,18.688524590163933
10,NaN,113.90871747334798,1998,0.2,0.0
Final Results,NaN,113.90782852172852,1998,0.2,0.0

AVERAGES,588,86,,1.0
