Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,395.0,40.46771717071533,126,0.2,38.0
2,636.7891156462586,48.170293728510536,258,0.2,38.0
3,1016.9166666666666,53.02656277743253,370,0.19371727,38.0
4,NaN,60.491495768229164,370,0.14741036,38.0
5,NaN,68.61754544576009,370,0.118971065,38.0
6,NaN,77.25749651590984,370,0.09973046,37.377049180327866
7,NaN,85.717041015625,370,0.08584687,38.0
8,NaN,93.48836771647136,370,0.07535642,37.377049180327866
9,NaN,102.95666376749675,370,0.06715064,38.0
10,NaN,113.4707482655843,370,0.06050695,37.377049180327866
Final Results,NaN,117.24955940246582,370,0.058590658,38.0

AVERAGES,682,78,,0.29295329
