Benchmark,latency-Q10_8,memory,ObIds,Completeness,Current Throughput
1,3334.470588235294,44.02164928729717,68,0.026397515,159.5
2,NaN,61.5367374420166,68,0.013665595,159.46666666666667
3,123741.0,79.99093627929688,69,0.009354664,158.55737704918033
4,NaN,98.24549166361491,69,0.0070581012,158.93333333333334
5,246110.0,116.57017644246419,70,0.0057490147,158.4262295081967
6,NaN,135.07101249694824,70,0.004802415,157.9016393442623
7,368975.0,153.90199025472006,71,0.004182375,158.4
8,NaN,171.68646558125815,71,0.003664327,158.0327868852459
9,491252.0,189.80365244547525,72,0.0033063923,157.37704918032787
10,NaN,208.04702949523926,72,0.00297816,157.5737704918033
Final Results,NaN,220.25454139709473,72,0.0028827675,156.8

AVERAGES,246682,134,,0.014413837499999999
