Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,1176.5396825396826,40.63309955596924,63,0.196875,19.0
2,1085.7704918032787,46.46084054311117,124,0.2,19.0
3,674.3666666666667,52.21066506703695,184,0.2,19.0
4,1171.2,57.95360914866129,244,0.19918367,19.0
5,1195.0333333333333,63.68208408355713,304,0.19934426,19.0
6,945.672131147541,69.47812112172444,365,0.2,18.688524590163933
7,895.85,75.19974867502849,425,0.19953051,19.0
8,1296.6,80.92779572804768,485,0.19958848,19.0
9,1198.6333333333334,86.72126229604085,545,0.19926874,19.0
10,1129.4516129032259,92.48635196685791,607,0.2,19.0
Final Results,1087.96,96.60960941314697,632,0.19968404,19.0

AVERAGES,1077,69,,0.9984202
