Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,114.48571428571428,39.97847499847412,122,0.2,38.0
2,54.41463414634146,48.15060098965963,242,0.2,38.0
3,49.628571428571426,58.217637379964195,362,0.2,37.36666666666667
4,58.86046511627907,66.70173279444377,482,0.2,38.0
5,39.65384615384615,77.29817454020183,602,0.2,38.0
6,62.76923076923077,84.24327421188354,722,0.2,37.377049180327866
7,54.40625,93.82424815495808,842,0.2,37.36666666666667
8,51.15625,102.43578147888184,962,0.2,38.0
9,54.1025641025641,110.34880018234253,1082,0.2,37.377049180327866
10,38.48148148148148,118.55514653523763,1202,0.2,38.0
Final Results,58.5,122.64681892395019,1252,0.2,38.0

AVERAGES,57,83,,1.0
