Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,1994.6857142857143,39.5010290145874,35,0.10294118,19.0
2,1621.4285714285713,47.002365509668984,66,0.103125,19.0
3,1893.0,52.63502240180969,101,0.10744681,18.688524590163933
4,1908.125,58.43072239557902,133,0.10682731,19.0
5,2041.6764705882354,64.12887803713481,166,0.10744336,19.0
6,1932.2702702702702,69.88527425130208,201,0.10894309,18.688524590163933
7,1602.9354838709678,75.68568865458171,232,0.107906975,19.0
8,1437.225806451613,81.60034386316936,263,0.10734694,19.0
9,1932.3333333333333,87.3771550655365,299,0.10852995,19.0
10,2092.1714285714284,93.09031860033672,331,0.10831152,19.0
Final Results,1898.1875,97.20223960876464,345,0.10832025,19.0

AVERAGES,1850,69,,0.54160125
