Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,89.98039215686275,40.22082597017288,130,0.2,38.0
2,53.224489795918366,48.88867378234863,250,0.2,38.0
3,44.166666666666664,59.336236317952476,370,0.2,37.377049180327866
4,57.666666666666664,69.58277130126953,490,0.2,38.0
5,46.979166666666664,81.79734420776367,610,0.2,37.377049180327866
6,56.142857142857146,90.41653887430827,730,0.2,38.0
7,54.472727272727276,102.29159228006999,850,0.2,37.377049180327866
8,54.410714285714285,112.3843542734782,970,0.2,37.377049180327866
9,58.57692307692308,122.73400195439656,1090,0.2,37.68333333333333
10,46.5531914893617,134.49189821879068,1210,0.2,37.68852459016394
Final Results,55.266666666666666,139.02691507339478,1250,0.2,37.05

AVERAGES,56,91,,1.0
