Benchmark,latency-Q10,memory,ObIds,Completeness,Current Throughput
1,88.86666666666666,44.74702923114483,130,1.0,8.0
2,20.043478260869566,50.71266492207845,250,1.0,8.0
3,18.541666666666668,55.10436757405599,370,1.0,8.0
4,18.318181818181817,60.76748847961426,490,1.0,7.868852459016393
5,18.714285714285715,67.2134583791097,610,1.0,8.0
6,20.90909090909091,71.79929288228352,730,1.0,7.868852459016393
7,19.391304347826086,78.16970825195312,852,1.0,8.0
8,19.3,83.5477803548177,972,1.0,8.0
9,18.083333333333332,89.09420394897461,1092,1.0,8.0
10,18.94736842105263,95.25690269470215,1212,1.0,7.868852459016393
Final Results,20.63157894736842,98.83457298278809,1264,1.0,8.0

AVERAGES,25,72,,5.0
