Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,5778.088235294118,43.34970955621628,32,0.033333335,38.0
2,8448.868421052632,51.64767464001974,70,0.043209877,38.0
3,4712.933333333333,57.56136512756348,83,0.037387386,38.0
4,11235.333333333334,62.843727198514074,116,0.0409894,38.0
5,8747.378378378378,67.61494818600741,149,0.043440234,38.0
6,11169.0,73.23582215742631,182,0.045161292,38.0
7,8099.4324324324325,78.4971981048584,218,0.047084235,38.0
8,7679.95652173913,84.05731643329968,260,0.049523808,38.0
9,7253.704545454545,89.85220328966777,302,0.05109983,38.0
10,6328.777777777777,95.33867311477661,347,0.0529771,38.0
Final Results,NaN,98.21858024597168,347,0.05202399,38.0

AVERAGES,7945,72,,0.26011995
