Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,95.3225806451613,41.014464139938354,64,0.2,19.0
2,60.37931034482759,47.811099688212074,124,0.2,19.0
3,53.22222222222222,53.16014766693115,184,0.2,18.683333333333334
4,61.86206896551724,58.82861359914144,244,0.2,18.688524590163933
5,55.083333333333336,65.19126637776692,304,0.2,19.0
6,53.964285714285715,69.91421731313069,364,0.2,19.0
7,58.708333333333336,76.46320128440857,424,0.2,18.683333333333334
8,59.09090909090909,81.78878847757976,484,0.2,19.0
9,54.41935483870968,87.53806535402934,544,0.2,18.688524590163933
10,47.708333333333336,93.77272828420003,604,0.2,19.0
Final Results,58.705882352941174,96.86524829864501,629,0.2,18.24

AVERAGES,59,70,,1.0
