Benchmark,latency-Q10_8,memory,ObIds,Completeness,Current Throughput
1,1864.295025728988,44.333413931039665,519,0.9980769,32.0
2,2802.807077625571,59.517520904541016,999,0.999,32.0
3,12283.493805309734,64.92120107014973,1479,0.9993243,32.0
4,20755.687096774192,70.7104098002116,1959,0.9994898,31.475409836065573
5,28671.921898928023,77.41938908894856,2439,0.99959016,32.0
6,40623.843959731545,82.33498891194661,2927,0.99965847,32.0
7,33062.83188720173,89.13399314880371,3407,0.99970657,32.0
8,34584.529300567105,98.78230539957683,3887,0.99768996,32.0
9,25696.728465487737,107.41709200541179,4367,0.99794334,31.6
10,27037.986301369863,119.74744160970052,4849,0.99814737,32.0
Final Results,29346.766878980892,124.63948364257813,5049,0.9982206,31.692307692307693

AVERAGES,23339,85,,4.991103
