Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,1527.3972602739725,39.948154270648956,122,0.18484849,38.0
2,1484.8461538461538,48.47529665629069,232,0.18412699,38.0
3,1531.7863247863247,59.27048301696777,350,0.18817204,38.0
4,1563.155737704918,70.69985834757487,472,0.19186991,37.377049180327866
5,1592.745283018868,83.29700342814128,588,0.19215687,37.36666666666667
6,1558.3688524590164,91.47514470418294,710,0.19398907,38.0
7,1573.2222222222222,103.38351885477702,832,0.19530517,37.36666666666667
8,1556.1913043478262,113.28077824910481,948,0.19506173,38.0
9,1577.3761467889908,123.50253423055013,1070,0.1959707,37.36666666666667
10,1607.3177570093458,135.94885444641113,1192,0.19669966,38.0
Final Results,1647.4444444444443,141.02334327697753,1238,0.19619651,37.24

AVERAGES,1565,91,,0.9809825499999999
