Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,700.6308724832214,41.02945950826009,122,0.2,38.0
2,489.79432624113474,46.76387230555216,242,0.2,38.0
3,397.9925925925926,52.646313190460205,362,0.2,37.377049180327866
4,548.2272727272727,58.58907302220663,484,0.2,38.0
5,467.57615894039736,64.9591228167216,604,0.2,38.0
6,245.63013698630138,71.05572128295898,726,0.2,38.0
7,165.4375,76.86010615030925,846,0.1995283,38.0
8,115.20945945945945,82.89132658640544,968,0.2,38.0
9,334.35099337748346,89.03584305445354,1088,0.19963303,38.0
10,859.1986301369863,94.96612644195557,1210,0.2,38.0
Final Results,780.6060606060606,99.13916244506837,1260,0.19968304,38.0

AVERAGES,464,70,,0.9984152
