Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,892.6461538461539,39.55311465263367,130,0.1969697,38.0
2,747.0081967213115,46.865081469217934,252,0.2,38.0
3,329.52542372881356,52.60299841562907,370,0.19892474,38.0
4,971.016393442623,58.47083568572998,492,0.19919029,38.0
5,897.4098360655738,64.40720844268799,614,0.2,38.0
6,444.85,70.3049955368042,734,0.2,37.377049180327866
7,853.5333333333333,76.23244380950928,854,0.19953272,38.0
8,955.0655737704918,81.90482107798259,976,0.2,38.0
9,636.1333333333333,87.83215554555257,1096,0.2,37.377049180327866
10,194.35245901639345,93.81717650095622,1218,0.2,38.0
Final Results,130.025,97.62681674957275,1258,0.2,38.0

AVERAGES,641,69,,1.0
