Benchmark,latency-Q10_8,memory,ObIds,Completeness,Current Throughput
1,2031.5032290114257,45.59685692420373,519,0.9980769,32.0
2,2031.5926938369782,65.01016489664714,999,0.997006,32.0
3,2032.5181501740428,82.83694330851237,1487,0.99932796,32.0
4,2034.024807740015,104.54850641886394,1967,0.9994919,32.0
5,2044.5472071181414,138.07484245300293,2447,0.99918336,32.0
6,2032.011434253045,158.37457593282065,2935,0.9996594,32.0
7,2034.5106699751861,185.30958302815756,3415,0.9997073,32.0
8,2035.5136679920477,218.2024383544922,3897,0.99923074,32.0
9,2037.5570153693604,251.5200481414795,4383,0.9997719,32.0
10,2034.000497636228,294.14281527201337,4863,0.9997944,32.0
Final Results,2031.0770569226945,310.3448547363281,5065,0.99940807,32.0

AVERAGES,2034,168,,4.99704035
