Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,93.07407407407408,39.83636784553528,64,0.2,19.0
2,58.15384615384615,47.799675941467285,124,0.2,19.0
3,52.67857142857143,53.14266490936279,184,0.2,19.0
4,56.46875,58.7353302637736,244,0.2,19.0
5,46.125,65.23135979970296,304,0.2,18.683333333333334
6,56.54838709677419,69.8922233581543,364,0.2,19.0
7,58.88461538461539,76.55518849690755,424,0.2,19.0
8,52.916666666666664,81.78658994038899,484,0.2,19.0
9,52.925925925925924,87.40742723147075,544,0.2,18.688524590163933
10,45.464285714285715,93.88095760345459,604,0.2,19.0
Final Results,60.25,96.9289701461792,629,0.2,18.24

AVERAGES,57,70,,1.0
