Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,2485.3333333333335,42.37429987300526,9,0.018947368,19.0
2,3865.75,50.257286628087364,17,0.021518987,19.0
3,3246.6666666666665,56.13134535153707,26,0.023636363,19.0
4,4617.0,62.552311976750694,35,0.024647888,19.0
5,2668.8,68.51919047037761,45,0.0259366,19.0
6,3018.6666666666665,74.44627666473389,54,0.026470589,19.0
7,2634.785714285714,80.60376532872517,64,0.027118644,19.0
8,4093.3333333333335,86.47884702682495,73,0.02739212,18.688524590163933
9,1317.2727272727273,92.41062426567078,82,0.027609428,19.0
10,1954.0,98.69175100326538,94,0.028528072,19.0
Final Results,NaN,102.14806938171387,94,0.028270677,19.0

AVERAGES,2990,74,,0.141353385
