Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,2261.901639344262,39.186670780181885,61,0.190625,19.0
2,2055.151515151515,46.508575757344566,123,0.1983871,19.0
3,1759.5593220338983,52.23657830556234,182,0.19782609,19.0
4,1962.7301587301588,57.9845290184021,242,0.19836065,18.688524590163933
5,1734.4426229508197,63.6886822382609,302,0.19803278,19.0
6,2232.1290322580644,69.4298137029012,361,0.19780822,19.0
7,2234.923076923077,75.1882963180542,422,0.19812207,19.0
8,2253.2096774193546,80.9575268427531,484,0.19917695,19.0
9,2167.6,86.757186571757,543,0.19853748,19.0
10,2098.754098360656,92.52144400278728,604,0.19901153,19.0
Final Results,2002.7037037037037,96.65596561431884,630,0.19905214,19.0

AVERAGES,2069,69,,0.9952606999999999
