Benchmark,latency-Q10,memory,ObIds,Completeness,Current Throughput
1,1203.234375,37.20714334341196,128,0.9846154,8.0
2,1018.0819672131148,41.51287651062012,250,1.0,8.0
3,640.0,47.286675771077476,368,0.9945946,8.0
4,1040.139344262295,52.96004104614258,490,1.0,7.868852459016393
5,695.2796610169491,58.71008173624674,608,0.99346405,8.0
6,1277.7377049180327,64.2847245534261,730,0.9972678,8.0
7,1232.275,69.98161951700847,850,0.9976526,8.0
8,1123.8852459016393,75.82751719156902,972,0.9979466,8.0
9,1049.8583333333333,81.48334630330403,1092,0.99817187,8.0
10,982.2295081967213,87.30788167317708,1214,0.99835527,8.0
Final Results,961.2,91.33529853820801,1264,0.99842024,8.0

AVERAGES,1020,64,,4.9921012
