Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,806.1963190184049,39.520803809165955,130,0.2,38.0
2,376.48387096774195,47.09491157531738,250,0.1984127,38.0
3,790.2042253521126,52.84523598353068,370,0.19892474,38.0
4,877.2156862745098,58.995229721069336,492,0.2,38.0
5,451.4493670886076,64.93441836039226,612,0.2,37.377049180327866
6,613.5985915492957,70.73938337961833,732,0.2,37.377049180327866
7,275.8838709677419,76.74897416432698,852,0.19953161,38.0
8,102.125,82.58268547058105,974,0.2,38.0
9,719.7285714285714,88.70134909947713,1096,0.2,38.0
10,850.1027397260274,94.42563660939534,1216,0.1996716,38.0
Final Results,833.6326530612245,98.65567398071289,1256,0.19968204,38.0

AVERAGES,608,70,,0.9984102
