Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,343.5263157894737,39.48140245676041,61,0.2,19.0
2,338.5272727272727,47.63736232121786,121,0.2,19.0
3,334.8474576271187,52.819199562072754,181,0.2,18.688524590163933
4,338.50847457627117,58.58178464571635,241,0.2,19.0
5,326.9491525423729,64.95397186279297,301,0.2,18.688524590163933
6,351.10169491525426,69.74219711621602,361,0.2,19.0
7,326.91379310344826,76.20467988650005,421,0.2,18.688524590163933
8,346.0689655172414,81.25519116719563,481,0.2,19.0
9,329.74545454545455,87.17410254478455,541,0.2,18.688524590163933
10,325.1694915254237,93.46924304962158,601,0.2,19.0
Final Results,366.24,97.00834846496582,626,0.2,18.26923076923077

AVERAGES,338,69,,1.0
