Benchmark,latency-Q10_8,memory,ObIds,Completeness,Current Throughput
1,2891.6666666666665,117.52133472149188,232,0.2248062,63.44615384615385
2,2652.1492537313434,142.55609703063965,400,0.20080322,62.93333333333333
3,4582.054794520548,161.69855372111002,584,0.19783197,63.01639344262295
4,2621.9036144578313,138.36834526062012,808,0.20654397,62.86666666666667
5,4996.638888888889,180.5685240427653,904,0.18543589,63.67213114754098
6,5275.675675675676,188.47772661844888,1000,0.17137961,63.46666666666667
7,3971.3636363636365,160.96106974283853,1168,0.1718911,64.0
8,3613.6111111111113,167.16425768534342,1264,0.16299161,62.950819672131146
9,4221.224489795918,182.55124473571777,1400,0.16064256,62.950819672131146
10,NaN,583.2290635542436,1400,0.14590932,62.857142857142854
Final Results,23423.53846153846,623.1230290730795,1456,0.14804271,60.23529411764706

AVERAGES,5824,240,,0.7402135499999999
