Benchmark,latency-Q1_30MB,memory,ObIds,Completeness,Current Throughput
1,109.13636363636364,71.42706152109,130,0.2,38.0
2,21.72,74.70999336242676,250,0.2,38.0
3,19.82608695652174,84.19204648335774,370,0.2,38.0
4,23.238095238095237,91.1227633158366,490,0.2,37.377049180327866
5,26.25,98.14502271016438,610,0.2,38.0
6,18.695652173913043,104.01840591430664,730,0.2,37.377049180327866
7,24.571428571428573,110.94052187601726,850,0.2,38.0
8,20.0,117.18471399943034,970,0.2,37.377049180327866
9,22.333333333333332,123.5908153851827,1090,0.2,38.0
10,20.4,130.71258036295572,1210,0.2,37.377049180327866
Final Results,25.789473684210527,134.4069133758545,1260,0.2,38.0

AVERAGES,30,103,,1.0
