Benchmark,latency-Q10_8,memory,ObIds,Completeness,Current Throughput
1,1154.87890625,37.714895688570465,512,0.9846154,32.0
2,1128.33125,42.552933057149254,992,0.992,32.0
3,890.3872950819672,49.089549700419106,1480,1.0,32.0
4,539.025,55.31581211090088,1960,0.99593496,32.0
5,410.3360655737705,61.69564731915792,2448,1.0,32.0
6,371.44166666666666,67.83835013707478,2928,1.0,32.0
7,1234.3135593220338,74.09097576141357,3400,0.9976526,32.0
8,1305.7458333333334,80.22828769683838,3880,0.99589324,32.0
9,1277.563524590164,86.54507891337077,4368,0.99817187,32.0
10,1251.8708333333334,92.56404741605122,4848,0.9983525,32.0
Final Results,1222.9086538461538,96.93199977874755,5056,0.99842024,32.0

AVERAGES,980,67,,4.9921012
