Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,1416.5483870967741,41.45226888095631,31,0.089855075,19.0
2,1690.6944444444443,48.11863120396932,67,0.10387597,18.683333333333334
3,2036.0,53.62604999542236,103,0.10899471,19.0
4,2368.090909090909,59.136000871658325,148,0.1188755,18.683333333333334
5,2483.6,65.49619952837627,193,0.124919094,19.0
6,2933.3,70.42762152353923,253,0.13712737,18.366666666666667
7,3043.509090909091,76.78104972839355,308,0.14358975,19.0
8,3077.706896551724,82.24583498636882,367,0.15010224,19.0
9,3119.125,87.82153447469075,431,0.15701275,18.688524590163933
10,3084.1724137931033,94.25573190053304,489,0.16059114,18.683333333333334
Final Results,3124.8,97.02126007080078,514,0.16214511,19.0

AVERAGES,2579,70,,0.81072555
