Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,112.47222222222223,41.45075178146362,132,0.2,38.0
2,58.25714285714286,48.6365852355957,252,0.2,38.0
3,44.7,59.1714121500651,372,0.2,38.0
4,81.70731707317073,67.62897809346516,492,0.2,37.377049180327866
5,47.80769230769231,76.92358271280925,612,0.2,38.0
6,51.189189189189186,84.05975882212321,732,0.2,37.377049180327866
7,57.13513513513514,92.2680762608846,852,0.2,38.0
8,45.83870967741935,102.08042685190837,972,0.2,37.377049180327866
9,55.375,110.03396638234456,1092,0.2,38.0
10,30.238095238095237,119.4586083094279,1212,0.2,37.377049180327866
Final Results,61.035714285714285,123.14492626190186,1263,0.2,38.0

AVERAGES,58,84,,1.0
