Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,869.34375,39.25174903869629,64,0.2,19.0
2,591.4,46.607699394226074,124,0.2,19.0
3,278.3,52.3632230758667,184,0.2,19.0
4,749.2,58.001572608947754,244,0.19918367,19.0
5,914.6833333333333,63.73784669240316,304,0.19934426,19.0
6,884.4333333333333,69.56307633717854,364,0.19945206,19.0
7,849.8524590163935,75.1978546778361,425,0.2,19.0
8,771.15,81.11565049489339,485,0.19958848,19.0
9,728.45,86.77614625295003,545,0.1996337,19.0
10,696.9016393442623,92.55017312367757,606,0.2,18.683333333333334
Final Results,666.84,96.47981967926026,631,0.19968355,19.0

AVERAGES,727,69,,0.9984177499999999
