Benchmark,latency-Q10_8,memory,ObIds,Completeness,Current Throughput
1,1264.6057692307693,156.7556868333083,104,0.1007752,63.50769230769231
2,NaN,844.2964338822799,104,0.054393306,62.472727272727276
3,NaN,1563.873991394043,104,0.039349224,58.8
4,NaN,1874.6392621994019,104,0.036224313,27.125
5,NaN,1910.1955709457397,104,0.033755273,26.266666666666666
6,NaN,1921.4325551986694,104,0.031476997,29.032258064516128
7,NaN,1925.226369857788,104,0.029621191,23.625
8,NaN,1926.7918825149536,104,0.02774073,29.93548387096774
9,NaN,1928.536992073059,104,0.02609132,30.0
Final Results,NaN,1929.721197128296,104,0.025390625,31.384615384615383

AVERAGES,1264,1598,,0.126953125
