Benchmark,latency-Q10_8,memory,ObIds,Completeness,Current Throughput
1,929.8293650793651,65.68804403451773,504,0.9692308,32.0
2,856.4791666666666,68.98304494222005,984,0.984,31.4
3,501.6311475409836,71.25405502319336,1472,0.9945946,32.0
4,645.9152542372881,69.80816650390625,1944,0.9918367,32.0
5,430.87704918032784,70.54209391276042,2432,0.9967213,31.081967213114755
6,802.5875,71.04010963439941,2912,0.9945355,32.0
7,826.4479166666666,70.45567258199056,3392,0.9953052,32.0
8,792.6895833333333,70.45650800069173,3872,0.9958848,32.0
9,532.8872950819672,71.80725224812825,4360,0.99816847,31.80327868852459
10,652.7479166666667,71.97519620259602,4840,0.99834985,32.0
Final Results,705.035,71.552978515625,5040,0.99841523,32.0

AVERAGES,697,70,,4.99207615
