Benchmark,latency-Q10_5,memory,ObIds,Completeness,Current Throughput
1,936.1111111111111,63.73332214355469,315,0.9692308,20.0
2,811.6032786885246,66.49027252197266,620,0.992,20.0
3,403.70666666666665,66.70819155375163,920,0.9945946,20.0
4,623.0166666666667,66.91577084859212,1220,0.9959184,20.0
5,514.74,67.08386929829915,1520,0.9967213,19.666666666666668
6,475.2366666666667,67.28623708089192,1820,0.9972603,19.666666666666668
7,604.1566666666666,67.5054702758789,2120,0.99764705,20.0
8,316.37666666666667,67.6319039662679,2420,0.99793816,20.0
9,679.47,67.81452306111653,2720,0.99816513,19.666666666666668
10,287.3898305084746,68.08567237854004,3015,0.9966942,20.0
Final Results,905.9307692307692,68.08756103515626,3145,0.99841267,20.0

AVERAGES,596,67,,4.99206335
