Benchmark,latency-Q10,memory,ObIds,Completeness,Current Throughput
1,882.468253968254,64.8823952308068,126,0.9692308,8.0
2,768.3196721311475,66.00499598185222,248,0.992,8.0
3,449.35833333333335,66.07236735026042,368,0.9945946,8.0
4,399.575,66.14930089314778,488,0.9959184,8.0
5,692.0166666666667,66.25816408793132,608,0.9967213,8.0
6,300.125,66.34258270263672,728,0.9972603,8.0
7,666.8166666666667,66.34752655029297,848,0.99764705,8.0
8,543.5333333333333,66.46294403076172,968,0.99793816,8.0
9,322.5833333333333,66.47001775105794,1088,0.99816513,8.0
10,759.7666666666667,66.68595377604167,1208,0.9983471,8.0
Final Results,486.72,66.75985107421874,1258,0.99841267,8.0

AVERAGES,570,66,,4.99206335
