Benchmark,latency-Q1_30MB,memory,ObIds,Completeness,Current Throughput
1,2793.3358208955224,235.81984656197685,134,0.19142857,38.0
2,2409.8166666666666,255.87678146362305,254,0.19538462,37.36666666666667
3,2509.3474576271187,258.8194185892741,372,0.19578947,37.36666666666667
4,2463.05737704918,261.1401964823405,494,0.1976,37.377049180327866
5,2500.383333333333,258.49590555826825,614,0.19806452,37.377049180327866
6,2490.6916666666666,255.5474885304769,734,0.19837838,38.0
7,2503.4836065573772,261.1073169708252,856,0.19906977,37.36666666666667
8,2481.813559322034,257.14743105570477,974,0.19877551,37.38709677419355
9,2472.3050847457625,257.9044704437256,1092,0.19854546,37.377049180327866
10,2481.9193548387098,261.0823465983073,1216,0.19934426,37.377049180327866
Final Results,2473.8888888888887,260.3965072631836,1234,0.19903226,38.0

AVERAGES,2507,256,,0.9951612999999999
