Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,1132.111111111111,78.66781616210938,126,0.19384615,38.0
2,957.7049180327868,82.66914494832356,248,0.1984,38.0
3,521.0083333333333,82.88738632202148,368,0.19891892,38.0
4,923.0666666666667,82.92699368794759,488,0.19918367,37.36666666666667
5,685.8833333333333,83.2654914855957,608,0.19934426,38.0
6,732.7881355932203,83.43258412679036,726,0.19890411,38.0
7,839.6065573770492,83.64891370137532,848,0.19952941,38.0
8,533.9322033898305,83.89667510986328,966,0.19917525,37.377049180327866
9,972.9508196721312,83.94626744588216,1088,0.19963303,38.0
10,533.8166666666667,84.31531079610188,1208,0.19966942,38.0
Final Results,797.875,83.82899475097656,1256,0.19936508,36.53846153846154

AVERAGES,784,83,,0.9968254
