Benchmark,latency-Q1_20MB,memory,ObIds,Completeness,Current Throughput
1,1687.9375,176.59574714073767,128,0.19692308,38.0
2,1558.9915254237287,191.15673319498697,246,0.1968,37.36666666666667
3,1505.3916666666667,188.89443906148276,366,0.19783784,37.377049180327866
4,1441.4,191.00644175211588,486,0.19836734,37.377049180327866
5,1493.9416666666666,192.35222562154135,606,0.19868852,37.36666666666667
6,1560.425,191.64252217610678,726,0.19890411,37.377049180327866
7,1453.0666666666666,190.06026776631674,846,0.19905883,37.36666666666667
8,1437.3166666666666,193.0718148549398,966,0.19917525,37.38709677419355
9,1503.6666666666667,193.338352839152,1086,0.19926606,37.36666666666667
10,1498.2333333333333,190.24196751912436,1206,0.19933884,37.377049180327866
Final Results,1189.7,195.01622200012207,1246,0.19936,38.0

AVERAGES,1484,190,,0.9968
