Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,2055.563492063492,79.60498281625601,126,0.19384615,38.0
2,2047.4416666666666,83.38551012674968,246,0.1968,38.0
3,1834.0,83.8565247853597,362,0.19567567,38.0
4,1624.1349206349207,84.38509305318196,488,0.19918367,38.0
5,1911.3666666666666,84.31591606140137,608,0.19934426,38.0
6,1742.353448275862,83.67409133911133,724,0.19835617,38.0
7,1675.1451612903227,84.91519864400227,848,0.19952941,37.36666666666667
8,1875.3362068965516,84.71164894104004,964,0.1987629,38.0
9,1862.2881355932204,84.96023368835449,1082,0.1985321,38.0
10,1673.4333333333334,85.38766098022461,1202,0.19867769,37.36666666666667
Final Results,1958.6451612903227,85.38791783650716,1264,0.19905512,38.0

AVERAGES,1841,84,,0.9952755999999999
