Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,5240.508196721312,81.67644852858324,122,0.18769231,38.0
2,5046.991071428572,85.59795379638672,234,0.1872,38.0
3,4757.787878787879,85.58551216125488,366,0.19783784,38.0
4,4504.712962962963,85.8449764251709,474,0.19346939,38.0
5,4759.923076923077,86.29418754577637,604,0.19803278,37.36666666666667
6,4687.009090909091,86.56671969095866,714,0.19561644,38.0
7,4620.638461538461,86.25438181559245,844,0.19858824,38.0
8,4794.584905660377,86.88131332397461,950,0.19587629,37.36666666666667
9,4748.514925373134,86.87229919433594,1084,0.19889908,38.0
10,4679.851851851852,86.8413683573405,1192,0.19702479,38.0
Final Results,4887.390625,87.5049331665039,1256,0.19936508,38.0

AVERAGES,4793,85,,0.9968254
