Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,1255.3046875,79.03622553898738,128,0.19692308,38.0
2,1483.301724137931,83.14733505249023,244,0.1952,38.0
3,1650.225,82.76786931355794,364,0.19675675,38.0
4,962.983606557377,83.45767529805501,486,0.19836734,38.0
5,1031.5583333333334,83.7500171661377,606,0.19868852,37.36666666666667
6,1107.8583333333333,84.11722183227539,726,0.19890411,38.0
7,1130.5916666666667,84.19883791605632,846,0.19905883,38.0
8,1001.4166666666666,83.92928504943848,966,0.19917525,38.0
9,1200.1916666666666,84.43749237060547,1086,0.19926606,37.36666666666667
10,1119.688524590164,84.21151860555013,1208,0.19966942,38.0
Final Results,1256.875,85.15863037109375,1256,0.19936508,38.0

AVERAGES,1199,83,,0.9968254
