Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,1145.7063492063492,78.59058145376352,126,0.19384615,38.0
2,902.827868852459,82.77890205383301,248,0.1984,38.0
3,460.4583333333333,82.88695971171062,368,0.19891892,38.0
4,1051.4583333333333,82.95126088460286,488,0.19918367,37.36666666666667
5,636.325,83.26647822062175,608,0.19934426,38.0
6,774.4322033898305,83.22413444519043,726,0.19890411,38.0
7,804.0819672131148,83.64622179667155,848,0.19952941,38.0
8,528.1610169491526,83.75229326883952,966,0.19917525,38.0
9,962.7622950819672,83.98987642923991,1088,0.19963303,37.36666666666667
10,517.9083333333333,84.27098973592122,1208,0.19966942,38.0
Final Results,798.3958333333334,83.86314086914062,1256,0.19936508,38.0

AVERAGES,780,83,,0.9968254
