Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,757.421875,78.79327568641075,128,0.19692308,38.0
2,703.6833333333333,82.58922004699707,248,0.1984,38.0
3,793.125,83.06041653951009,368,0.19891892,38.0
4,769.5254237288135,82.94819831848145,486,0.19836734,38.0
5,637.5,83.50762112935384,608,0.19934426,38.0
6,730.1916666666667,83.52804883321126,728,0.19945206,37.36666666666667
7,828.3559322033898,83.68055407206218,846,0.19905883,38.0
8,645.0737704918033,83.96321042378743,968,0.19958763,38.0
9,820.3,83.80025164286296,1088,0.19963303,38.0
10,747.9830508474577,84.4950434366862,1206,0.19933884,38.0
Final Results,651.8461538461538,84.87820892333984,1258,0.19968253,36.53846153846154

AVERAGES,735,83,,0.9984126499999999
